author|title|content
marca.com|MARCA survey after Zidane's return: Winners, losers, signings...|Zinedine Zidane   Zinedine Zidane has returned to Real Madrid with the club in crisis, knowing that there is plenty of work ahead in what's left of this season and the next.  There are plenty of decisions to be made and questions to be asked, and MARCA are as… [+65 chars]
marca.com|Eli Cesáreo, operada de menisco, se pierde el Torneo Internacional de España|La jugadra internacional con los doctores Manuel Leyes y César Flores  Clínica CEMTRO  La pivote internacional del Aula Valladolid, Elisabet Cesáreo, permanecerá de baja por un periodo aproximado de seis semanas tras la operación de rotura del menisco interno… [+477 chars]
marca.com|Zidane: The president called me and I'm here because I love him and Real Madrid|Zinedine Zidane  Ángel RiveroMARCA  Following confirmation that Zinedine Zidane has returned to Real Madrid as coach, signing a contract until 2022, the Frenchman faced the press.  Surrounded by club legends and former teammates, including Raul and Roberto Ca… [+4003 chars]
marca.com|"La declaración de amor de Zidane al Real Madrid: ""Le quiero mucho"""|Dernan  #511/03/201921:34 horasLa inmensa mayoría de los madridistas también le queremos mucho, y le seguiremos queriendo pase lo que pase en esta nueva etapa. Y los antimadridistas le odian y le odiarán mucho, como se ve en los comentarios. Magnífica señal. … [+75 chars]
EFE|El equipo de Fernando Alonso prepara su propio torneo de deporte electrónico|El equipo de deportes electrónicos del doble campeón del mundo de F1 Fernando Alonso, el FA Racing Logitech G, planea crear su propio torneo de simuladores de carreras, según señaló el responsable del equipo, Andrés Tortarolo, durante el foro 'Global eSports … [+2627 chars]
marca.com|Deuda o duda: ¿confundió Zidane la pregunta o quería decir eso?|"Deuda o duda: ¿confundió Zidane la pregunta o quería decir eso?  MARCA  Zinedine Zidane fue preguntado si sentía algún tipo de ""deuda"" con el Real Madrid por haber dejado su banquillo al final de la temporada pasada, pero el técnico francés respondió que no h… [+26 chars]"
marca.com|Fekir: Messi is the best in the world, he is decisive and has to be stopped|Nabil Fekir   With their Champions League Round of 16 tie finely poised at 0-0 Lyon attacking midfielder Nabil Fekir has acknowledged that his team has to restrain Lionel Messi, should they want to have a chance against Barcelona.  The France international pr… [+1127 chars]
marca.com|Macroencuesta tras la llegada de Zidane: beneficiados, perjudicados, fichajes...|Zinedine Zidane regresa al Real Madrid para volver a entrenar al equipo blanco, que vive inmerso en una grave crisis. El técnico toma de nuevo las riendas del equipo y por delante tiene mucho trabajo para lo que resta de temporada, y sobre todo de cara a la s… [+215 chars]
MARCA|Barcelona men's and women's football teams take a joint official picture|Atlas  In a bid to further promote women's football, Barcelona took to social media to share a joint picture of their men's and women's teams.  Under the motto 'We are footballers', the coaches and players of their two senior teams were brought together to ta… [+183 chars]
marca.com|Florentino Perez: The best coach in the world is back at Real Madrid|Florentino Perez  Angel RiveroMARCA  Real Madrid President Florentino Perez has hailed Zinedine Zidane as the best coach in the world and welcomed him back to Los Blancos.  The Frenchman has returned to the club, where he won three consecutive Champions Leagu… [+1581 chars]
marca.com|The future of Ajax's young stars: Barcelona, Atletico Madrid, Bayern...|Ajax's spectacular 4-1 triumph over Real Madrid in the Champions League has bumped up the price of Erik ten Hag's young starlets.   Their awe-inspiring performance helped the Dutch side book their place in the quarter-finals of the competition and as a result… [+3532 chars]
Ainhoa Sánchez|El último 0-0 de Turín que vale al Atlético|Los jugadores del Atlético aplauden a su afición en el último partido en Turín.  José A. GarcíaMARCA  En diciembre de 2014 el Atlético visitó por última vez Turín. La cita se correspondía al último partido de la fase de grupos de la Champions. Los rojiblancos… [+1324 chars]
